epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.116,1.06595,2.65016,1.27855,0.14075,0.02111,0.0808,0.07202,1.16026,2.07663,1.28725,0.00330065,0.00330065,0.00330065
2,482.008,1.09331,1.53217,1.27288,0.56641,0.21253,0.39151,0.21672,1.34829,1.70901,1.48801,0.0065902,0.0065902,0.0065902
3,654.905,1.22665,1.58286,1.3525,0.43777,0.07699,0.2511,0.12327,2.12853,2.89912,2.579,0.00983575,0.00983575,0.00983575
4,825.469,1.35898,1.66855,1.44635,0.3075,0.08531,0.18865,0.09913,1.92652,2.69159,2.17102,0.009802,0.009802,0.009802
5,1013.46,1.33303,1.53939,1.44024,0.17531,0.08958,0.13125,0.07139,1.75518,2.57516,1.92506,0.009736,0.009736,0.009736
6,1175.41,1.30102,1.44194,1.41625,0.65426,0.12461,0.38696,0.22758,1.67718,2.02087,1.79321,0.00967,0.00967,0.00967
7,1343.92,1.26329,1.35045,1.39237,0.81445,0.17688,0.49586,0.30617,1.37068,1.53722,1.51966,0.009604,0.009604,0.009604
8,1523.39,1.23386,1.30905,1.36413,0.62101,0.143,0.38267,0.24302,1.38053,1.48823,1.52972,0.009538,0.009538,0.009538
9,1702.5,1.21164,1.26959,1.35405,0.7914,0.19574,0.49721,0.30886,1.31664,1.53387,1.44667,0.009472,0.009472,0.009472
10,1871.88,1.20333,1.23947,1.34848,0.60981,0.23851,0.4216,0.26524,1.29878,2.29457,1.43459,0.009406,0.009406,0.009406
11,2046.08,1.18871,1.21437,1.34128,0.68641,0.24309,0.45989,0.29643,1.32303,1.47837,1.45929,0.00934,0.00934,0.00934
12,2227.9,1.16636,1.1812,1.32059,0.76399,0.19159,0.47905,0.3265,1.21768,1.27331,1.38179,0.009274,0.009274,0.009274
13,2396.97,1.15276,1.14702,1.30983,0.72824,0.19717,0.46399,0.31246,1.30246,1.38029,1.4351,0.009208,0.009208,0.009208
14,2568.2,1.14727,1.14507,1.30252,0.76671,0.2964,0.53349,0.35091,1.18924,1.1821,1.33915,0.009142,0.009142,0.009142
15,2732.25,1.13119,1.11796,1.29129,0.79923,0.24188,0.52143,0.34743,1.24502,1.20846,1.39428,0.009076,0.009076,0.009076
16,2899.95,1.1224,1.0932,1.29157,0.83127,0.27753,0.55872,0.36659,1.15602,1.15355,1.31023,0.00901,0.00901,0.00901
17,3066.96,1.11637,1.08855,1.28136,0.83372,0.26988,0.55455,0.356,1.17912,1.21416,1.33293,0.008944,0.008944,0.008944
